step,epoch,tokens_seen,train_loss,val_loss,lr,tokens_per_sec,time
20,0.000,655360,8.2670,,7.35e-06,66858,2026-09-11 18:05:35
40,0.001,1310720,8.2631,,1.43e-05,87817,2026-09-11 18:05:40
60,0.001,1966080,8.2555,,2.14e-05,127597,2026-09-11 18:05:45
80,0.001,2621440,8.2459,,2.84e-05,127739,2026-09-11 18:05:51
100,0.002,3276800,8.2346,,3.53e-05,127748,2026-09-11 18:05:56
120,0.002,3932160,8.2216,,4.23e-05,127627,2026-09-11 18:06:01
140,0.002,4587520,8.2072,,4.93e-05,127126,2026-09-11 18:06:06
160,0.003,5242880,8.1919,,5.64e-05,126927,2026-09-11 18:06:11
180,0.003,5898240,8.1757,,6.33e-05,126510,2026-09-11 18:06:16
200,0.003,6553600,8.1585,,7.04e-05,126475,2026-09-11 18:06:22
220,0.004,7208960,8.1403,,7.73e-05,126368,2026-09-11 18:06:27
240,0.004,7864320,8.1218,,8.43e-05,126355,2026-09-11 18:06:32
260,0.004,8519680,8.1025,,9.13e-05,126213,2026-09-11 18:06:37
280,0.005,9175040,8.0831,,9.84e-05,126095,2026-09-11 18:06:43
300,0.005,9830400,8.0617,,1.05e-04,126209,2026-09-11 18:06:48
320,0.005,10485760,8.0399,,1.12e-04,126095,2026-09-11 18:06:53
340,0.006,11141120,8.0180,,1.19e-04,125573,2026-09-11 18:06:58
360,0.006,11796480,7.9961,,1.26e-04,125789,2026-09-11 18:07:03
380,0.006,12451840,7.9734,,1.33e-04,125688,2026-09-11 18:07:09
400,0.007,13107200,7.9499,,1.40e-04,125836,2026-09-11 18:07:14
420,0.007,13762560,7.9266,,1.47e-04,125927,2026-09-11 18:07:19
440,0.007,14417920,7.9026,,1.54e-04,125953,2026-09-11 18:07:24
460,0.008,15073280,7.8785,,1.61e-04,126214,2026-09-11 18:07:30
480,0.008,15728640,7.8539,,1.68e-04,126190,2026-09-11 18:07:35
500,0.008,16384000,7.8288,,1.75e-04,126153,2026-09-11 18:07:40
520,0.009,17039360,7.8042,,1.82e-04,126147,2026-09-11 18:07:45
540,0.009,17694720,7.7784,,1.89e-04,126045,2026-09-11 18:07:50
560,0.009,18350080,7.7534,,1.96e-04,126046,2026-09-11 18:07:56
580,0.010,19005440,7.7273,,2.03e-04,126057,2026-09-11 18:08:01
600,0.010,19660800,7.7012,,2.10e-04,125985,2026-09-11 18:08:06
620,0.010,20316160,7.6746,,2.17e-04,126086,2026-09-11 18:08:11
640,0.011,20971520,7.6484,,2.24e-04,126052,2026-09-11 18:08:16
660,0.011,21626880,7.6213,,2.31e-04,126113,2026-09-11 18:08:22
680,0.011,22282240,7.5944,,2.38e-04,126050,2026-09-11 18:08:27
700,0.012,22937600,7.5681,,2.45e-04,125837,2026-09-11 18:08:32
720,0.012,23592960,7.5409,,2.52e-04,125777,2026-09-11 18:08:37
740,0.012,24248320,7.5143,,2.59e-04,125846,2026-09-11 18:08:43
760,0.013,24903680,7.4868,,2.66e-04,125862,2026-09-11 18:08:48
780,0.013,25559040,7.4589,,2.73e-04,125863,2026-09-11 18:08:53
800,0.013,26214400,7.4307,,2.80e-04,125883,2026-09-11 18:08:58
820,0.014,26869760,7.4030,,2.87e-04,126067,2026-09-11 18:09:03
840,0.014,27525120,7.3750,,2.94e-04,125971,2026-09-11 18:09:09
860,0.014,28180480,7.3465,,3.01e-04,126157,2026-09-11 18:09:14
880,0.015,28835840,7.3184,,3.08e-04,126067,2026-09-11 18:09:19
900,0.015,29491200,7.2907,,3.15e-04,126145,2026-09-11 18:09:24
920,0.015,30146560,7.2627,,3.22e-04,126012,2026-09-11 18:09:30
940,0.016,30801920,7.2356,,3.29e-04,125966,2026-09-11 18:09:35
960,0.016,31457280,7.2077,,3.36e-04,125896,2026-09-11 18:09:40
980,0.016,32112640,7.1806,,3.43e-04,125876,2026-09-11 18:09:45
1000,0.017,32768000,7.1529,,3.50e-04,125984,2026-09-11 18:09:50
1020,0.017,33423360,7.1255,,3.57e-04,126119,2026-09-11 18:09:56
1040,0.017,34078720,7.0975,,3.64e-04,126139,2026-09-11 18:10:01
1060,0.018,34734080,7.0703,,3.71e-04,126006,2026-09-11 18:10:06
1080,0.018,35389440,7.0427,,3.78e-04,126017,2026-09-11 18:10:11
1100,0.018,36044800,7.0168,,3.85e-04,126097,2026-09-11 18:10:16
1120,0.019,36700160,6.9906,,3.92e-04,126131,2026-09-11 18:10:22
1140,0.019,37355520,6.9642,,3.99e-04,126238,2026-09-11 18:10:27
1160,0.019,38010880,6.9386,,4.06e-04,126202,2026-09-11 18:10:32
1180,0.020,38666240,6.9125,,4.13e-04,125902,2026-09-11 18:10:37
1200,0.020,39321600,6.8857,,4.20e-04,125993,2026-09-11 18:10:43
1220,0.020,39976960,6.8601,,4.27e-04,126116,2026-09-11 18:10:48
1240,0.021,40632320,6.8352,,4.34e-04,126130,2026-09-11 18:10:53
1260,0.021,41287680,6.8094,,4.41e-04,126198,2026-09-11 18:10:58
1280,0.021,41943040,6.7840,,4.48e-04,126173,2026-09-11 18:11:03
1300,0.022,42598400,6.7588,,4.55e-04,126136,2026-09-11 18:11:09
1320,0.022,43253760,6.7334,,4.62e-04,126103,2026-09-11 18:11:14
1340,0.022,43909120,6.7080,,4.69e-04,125954,2026-09-11 18:11:19
1360,0.023,44564480,6.6829,,4.76e-04,125989,2026-09-11 18:11:24
1380,0.023,45219840,6.6582,,4.83e-04,126131,2026-09-11 18:11:29
1400,0.023,45875200,6.6333,,4.90e-04,126130,2026-09-11 18:11:35
1420,0.024,46530560,6.6093,,4.97e-04,125992,2026-09-11 18:11:40
1440,0.024,47185920,6.5842,,5.04e-04,125881,2026-09-11 18:11:45
1460,0.024,47841280,6.5596,,5.11e-04,126061,2026-09-11 18:11:50
