step,epoch,tokens_seen,train_loss,val_loss,lr,tokens_per_sec,time,time_unix
20,0.000,655360,8.3337,,5.04e-06,75185,2026-09-13 20:53:22,1789304002.637
40,0.000,1310720,8.3293,,9.84e-06,92245,2026-09-13 20:53:29,1789304009.606
60,0.001,1966080,8.3217,,1.46e-05,118979,2026-09-13 20:53:36,1789304016.596
80,0.001,2621440,8.3120,,1.94e-05,118814,2026-09-13 20:53:43,1789304023.605
100,0.001,3276800,8.3004,,2.42e-05,118362,2026-09-13 20:53:50,1789304030.633
120,0.001,3932160,8.2864,,2.90e-05,118221,2026-09-13 20:53:57,1789304037.677
140,0.002,4587520,8.2723,,3.38e-05,117889,2026-09-13 20:54:04,1789304044.732
160,0.002,5242880,8.2574,,3.86e-05,117842,2026-09-13 20:54:11,1789304051.795
180,0.002,5898240,8.2417,,4.34e-05,117677,2026-09-13 20:54:18,1789304058.862
200,0.002,6553600,8.2250,,4.82e-05,117658,2026-09-13 20:54:26,1789304066.074
220,0.002,7208960,8.2077,,5.30e-05,117558,2026-09-13 20:54:33,1789304073.150
240,0.003,7864320,8.1899,,5.78e-05,117520,2026-09-13 20:54:40,1789304080.228
260,0.003,8519680,8.1708,,6.26e-05,117466,2026-09-13 20:54:47,1789304087.308
280,0.003,9175040,8.1512,,6.74e-05,117448,2026-09-13 20:54:54,1789304094.389
300,0.003,9830400,8.1307,,7.22e-05,117377,2026-09-13 20:55:01,1789304101.472
320,0.004,10485760,8.1097,,7.70e-05,117388,2026-09-13 20:55:08,1789304108.557
340,0.004,11141120,8.0877,,8.18e-05,117371,2026-09-13 20:55:15,1789304115.641
360,0.004,11796480,8.0655,,8.66e-05,117364,2026-09-13 20:55:22,1789304122.727
380,0.004,12451840,8.0429,,9.14e-05,117370,2026-09-13 20:55:29,1789304129.812
400,0.004,13107200,8.0196,,9.62e-05,117334,2026-09-13 20:55:36,1789304136.899
420,0.005,13762560,7.9965,,1.01e-04,117313,2026-09-13 20:55:43,1789304143.988
440,0.005,14417920,7.9732,,1.06e-04,117312,2026-09-13 20:55:51,1789304151.075
460,0.005,15073280,7.9492,,1.11e-04,117370,2026-09-13 20:55:58,1789304158.162
480,0.005,15728640,7.9249,,1.15e-04,117337,2026-09-13 20:56:05,1789304165.250
500,0.006,16384000,7.8996,,1.20e-04,117284,2026-09-13 20:56:12,1789304172.338
520,0.006,17039360,7.8753,,1.25e-04,117325,2026-09-13 20:56:19,1789304179.428
540,0.006,17694720,7.8507,,1.30e-04,117293,2026-09-13 20:56:26,1789304186.520
560,0.006,18350080,7.8253,,1.35e-04,117278,2026-09-13 20:56:33,1789304193.612
580,0.006,19005440,7.7988,,1.39e-04,117248,2026-09-13 20:56:40,1789304200.703
600,0.007,19660800,7.7730,,1.44e-04,117264,2026-09-13 20:56:47,1789304207.794
620,0.007,20316160,7.7472,,1.49e-04,117237,2026-09-13 20:56:54,1789304214.886
640,0.007,20971520,7.7214,,1.54e-04,117243,2026-09-13 20:57:01,1789304221.979
660,0.007,21626880,7.6953,,1.59e-04,117230,2026-09-13 20:57:09,1789304229.071
680,0.008,22282240,7.6686,,1.63e-04,117258,2026-09-13 20:57:16,1789304236.159
700,0.008,22937600,7.6417,,1.68e-04,117283,2026-09-13 20:57:23,1789304243.250
720,0.008,23592960,7.6153,,1.73e-04,117289,2026-09-13 20:57:30,1789304250.340
740,0.008,24248320,7.5883,,1.78e-04,117196,2026-09-13 20:57:37,1789304257.434
760,0.008,24903680,7.5602,,1.83e-04,117208,2026-09-13 20:57:44,1789304264.526
780,0.009,25559040,7.5322,,1.87e-04,117210,2026-09-13 20:57:51,1789304271.621
800,0.009,26214400,7.5048,,1.92e-04,117247,2026-09-13 20:57:58,1789304278.711
820,0.009,26869760,7.4773,,1.97e-04,117250,2026-09-13 20:58:05,1789304285.802
840,0.009,27525120,7.4493,,2.02e-04,117254,2026-09-13 20:58:12,1789304292.894
860,0.010,28180480,7.4220,,2.07e-04,117216,2026-09-13 20:58:19,1789304299.987
880,0.010,28835840,7.3939,,2.11e-04,117225,2026-09-13 20:58:27,1789304307.081
900,0.010,29491200,7.3662,,2.16e-04,117188,2026-09-13 20:58:34,1789304314.176
920,0.010,30146560,7.3385,,2.21e-04,117192,2026-09-13 20:58:41,1789304321.269
940,0.011,30801920,7.3101,,2.26e-04,117219,2026-09-13 20:58:48,1789304328.361
960,0.011,31457280,7.2829,,2.31e-04,117224,2026-09-13 20:58:55,1789304335.456
980,0.011,32112640,7.2550,,2.35e-04,117248,2026-09-13 20:59:02,1789304342.548
1000,0.011,32768000,7.2281,,2.40e-04,117234,2026-09-13 20:59:09,1789304349.640
1020,0.011,33423360,7.1992,,2.45e-04,117248,2026-09-13 20:59:16,1789304356.733
1040,0.012,34078720,7.1721,,2.50e-04,117216,2026-09-13 20:59:23,1789304363.828
1060,0.012,34734080,7.1451,,2.55e-04,117221,2026-09-13 20:59:30,1789304370.921
1080,0.012,35389440,7.1179,,2.59e-04,117206,2026-09-13 20:59:38,1789304378.014
1100,0.012,36044800,7.0902,,2.64e-04,117185,2026-09-13 20:59:45,1789304385.109
1120,0.013,36700160,7.0633,,2.69e-04,117188,2026-09-13 20:59:52,1789304392.203
1140,0.013,37355520,7.0361,,2.74e-04,117211,2026-09-13 20:59:59,1789304399.295
1160,0.013,38010880,7.0090,,2.79e-04,117199,2026-09-13 21:00:06,1789304406.389
1180,0.013,38666240,6.9829,,2.83e-04,117208,2026-09-13 21:00:13,1789304413.483
1200,0.013,39321600,6.9560,,2.88e-04,117212,2026-09-13 21:00:20,1789304420.577
1220,0.014,39976960,6.9298,,2.93e-04,117185,2026-09-13 21:00:27,1789304427.672
1240,0.014,40632320,6.9031,,2.98e-04,117199,2026-09-13 21:00:34,1789304434.766
1260,0.014,41287680,6.8772,,3.03e-04,117184,2026-09-13 21:00:41,1789304441.859
1280,0.014,41943040,6.8512,,3.07e-04,117203,2026-09-13 21:00:48,1789304448.954
1300,0.015,42598400,6.8259,,3.12e-04,117266,2026-09-13 21:00:56,1789304456.044
1320,0.015,43253760,6.8004,,3.17e-04,117259,2026-09-13 21:01:03,1789304463.136
1340,0.015,43909120,6.7749,,3.22e-04,117264,2026-09-13 21:01:10,1789304470.227
1360,0.015,44564480,6.7496,,3.27e-04,117218,2026-09-13 21:01:17,1789304477.323
1380,0.015,45219840,6.7244,,3.31e-04,117211,2026-09-13 21:01:24,1789304484.416
1400,0.016,45875200,6.6992,,3.36e-04,117239,2026-09-13 21:01:31,1789304491.509
1420,0.016,46530560,6.6741,,3.41e-04,117245,2026-09-13 21:01:38,1789304498.600
1440,0.016,47185920,6.6501,,3.46e-04,117261,2026-09-13 21:01:45,1789304505.692
1460,0.016,47841280,6.6263,,3.51e-04,117230,2026-09-13 21:01:52,1789304512.787
1480,0.017,48496640,6.6021,,3.55e-04,117214,2026-09-13 21:01:59,1789304519.879
1500,0.017,49152000,6.5783,,3.60e-04,117190,2026-09-13 21:02:06,1789304526.974
1520,0.017,49807360,6.5542,,3.65e-04,117192,2026-09-13 21:02:14,1789304534.069
1540,0.017,50462720,6.5308,,3.70e-04,117233,2026-09-13 21:02:21,1789304541.161
1560,0.017,51118080,6.5067,,3.75e-04,117239,2026-09-13 21:02:28,1789304548.256
1580,0.018,51773440,6.4833,,3.79e-04,117215,2026-09-13 21:02:35,1789304555.350
1600,0.018,52428800,6.4599,,3.84e-04,117233,2026-09-13 21:02:42,1789304562.444
1620,0.018,53084160,6.4362,,3.89e-04,117218,2026-09-13 21:02:49,1789304569.656
1640,0.018,53739520,6.4132,,3.94e-04,117216,2026-09-13 21:02:56,1789304576.754
1660,0.019,54394880,6.3909,,3.99e-04,117152,2026-09-13 21:03:03,1789304583.851
1680,0.019,55050240,6.3682,,4.03e-04,117160,2026-09-13 21:03:10,1789304590.950
1700,0.019,55705600,6.3459,,4.08e-04,117147,2026-09-13 21:03:18,1789304598.048
1720,0.019,56360960,6.3244,,4.13e-04,117138,2026-09-13 21:03:25,1789304605.146
1740,0.019,57016320,6.3023,,4.18e-04,117170,2026-09-13 21:03:32,1789304612.244
1760,0.020,57671680,6.2800,,4.23e-04,117172,2026-09-13 21:03:39,1789304619.340
1780,0.020,58327040,6.2587,,4.27e-04,117179,2026-09-13 21:03:46,1789304626.437
1800,0.020,58982400,6.2371,,4.32e-04,117166,2026-09-13 21:03:53,1789304633.533
1820,0.020,59637760,6.2156,,4.37e-04,117185,2026-09-13 21:04:00,1789304640.631
1840,0.021,60293120,6.1935,,4.42e-04,117186,2026-09-13 21:04:07,1789304647.727
1860,0.021,60948480,6.1724,,4.47e-04,117177,2026-09-13 21:04:14,1789304654.825
1880,0.021,61603840,6.1513,,4.51e-04,117141,2026-09-13 21:04:21,1789304661.924
1900,0.021,62259200,6.1315,,4.56e-04,117123,2026-09-13 21:04:29,1789304669.025
1920,0.021,62914560,6.1108,,4.61e-04,117141,2026-09-13 21:04:36,1789304676.125
1940,0.022,63569920,6.0899,,4.66e-04,117139,2026-09-13 21:04:43,1789304683.223
1960,0.022,64225280,6.0702,,4.71e-04,117141,2026-09-13 21:04:50,1789304690.322
1980,0.022,64880640,6.0501,,4.75e-04,117162,2026-09-13 21:04:57,1789304697.419
2000,0.022,65536000,6.0300,,4.80e-04,117158,2026-09-13 21:05:04,1789304704.516
2020,0.023,66191360,6.0096,,4.85e-04,117148,2026-09-13 21:05:11,1789304711.616
2040,0.023,66846720,5.9895,,4.90e-04,117136,2026-09-13 21:05:18,1789304718.718
2060,0.023,67502080,5.9695,,4.95e-04,117127,2026-09-13 21:05:25,1789304725.819
2080,0.023,68157440,5.9497,,4.99e-04,117126,2026-09-13 21:05:32,1789304732.920
2100,0.023,68812800,5.9302,,5.04e-04,117158,2026-09-13 21:05:40,1789304740.021
2120,0.024,69468160,5.9108,,5.09e-04,117154,2026-09-13 21:05:47,1789304747.120
2140,0.024,70123520,5.8915,,5.14e-04,117151,2026-09-13 21:05:54,1789304754.218
2160,0.024,70778880,5.8732,,5.19e-04,117146,2026-09-13 21:06:01,1789304761.315
2180,0.024,71434240,5.8546,,5.23e-04,117131,2026-09-13 21:06:08,1789304768.414
2200,0.025,72089600,5.8366,,5.28e-04,117140,2026-09-13 21:06:15,1789304775.511
